,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,Y
ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,CASH_FLOW_2,CASH_FLOW_3,CASH_FLOW_4,CASH_FLOW_5,CASH_FLOW_6,PAY_PERC_2,PAY_PERC_3,PAY_PERC_4,PAY_PERC_5,PAY_PERC_6,default payment next month
1,20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,3102,689,0,0,0,1761,0,0,10000,10000,1
2,120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1725,1682,2272,3455,3261,3729,5797,3729,0,5789,1
3,90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,12509,12559,13331,13948,14549,513,713,738,698,3345,0
4,50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,46233,48091,27114,27890,28478,430,249,223,378,345,0
5,50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,3670,25835,10940,18457,18442,42568,17637,2512,329,355,0
6,50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,54569,56951,18737,18619,19024,282,115,174,516,408,0
7,500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,357023,407007,504653,469253,460194,1087,922,455,253,285,0
8,100000,2,2,2,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,0,601,221,-1846,-1120,506,0,9667,76335,-96981,0
9,140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,10767,11676,11779,10793,2719,0,306,826,819,848,0
10,20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0,0,0,11885,12790,10000,10000,10000,10000,0,0
11,200000,2,3,2,34,0,0,2,0,0,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,7481,5485,2463,-1910,-7,11,51,542,14875,361,0
12,260000,2,1,2,51,-1,-1,-1,-1,-1,2,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,-148,1383,-66,22287,13668,8128,3961,22377,0,1633,0
13,630000,2,2,2,41,-1,0,-1,-1,-1,-1,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,5500,0,0,3630,0,5356,10000,10000,4415,0,0
14,70000,1,2,2,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,64169,62701,63782,34637,35394,0,445,457,225,0,1
15,250000,1,1,2,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,64060,60561,56696,53875,52512,423,447,472,503,527,0
16,50000,2,3,3,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,29173,27016,27671,28231,28911,296,377,427,452,372,0
17,20000,1,1,2,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,14810,15928,16838,16255,17454,0,833,0,900,0,1
18,320000,1,1,1,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,236178,118723,-5866,-189743,0,395,3080,1027,27913,85383,0
19,360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,10000,10000,0
20,180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,10000,10000,0
21,130000,2,3,2,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,24688,23489,19616,10872,0,401,361,817,451,28609,0
22,120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,0,316,0,316,0,10000,0,20000,10000,0,1
23,70000,2,2,2,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,40438,45020,44006,46905,46012,872,0,800,0,388,1
24,450000,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,-8,913,0,0,0,2672,288,0,0,10000,1
25,90000,1,1,2,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,1313,-5398,0,4315,6247,0,7635,10000,3788,3145,0
26,50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,39837,35022,27966,28767,28984,299,239,398,367,334,0
27,60000,1,1,2,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,-425,259,-57,127,-189,-91743,0,19305,0,78740,1
28,50000,2,3,2,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,14838,16163,16878,17931,18617,577,620,874,559,535,0
29,50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0,1372,-4,30173,0,52631,5985,89081,1260,0,0
30,50000,1,1,2,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,15075,16496,16907,16775,9800,979,603,572,894,0,0
31,230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,-5,-2073,0,-22985,-369,7978,8884,10785,24312,0,0
32,50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,27900,21102,21734,22217,22680,492,338,452,440,308,1
33,100000,1,1,2,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,81048,79578,77656,75503,72389,377,393,387,395,318,0
34,500000,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0,15201,0,70458,8000,20887,18114,31440,1304,7220,0
35,500000,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0,27950,0,-5293,0,22743,6352,0,16645,10000,0
36,160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,-262,-923,-1319,-2280,-2676,131,-30229,-10721,-8581,0,0
37,280000,1,2,1,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,173302,174122,164110,167501,171013,432,347,355,376,387,0
38,60000,2,2,2,22,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,8306,9025,3983,-76006,-29011,1008,2083,0,79109,-218,0
39,50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,10000,0,10000,10000,10000,1
40,280000,1,1,2,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0,-5335,0,8451,-48,0,10993,17238,9548,434,0
41,360000,1,1,2,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,211296,200895,622699,167969,151224,320,271,9127,445,204,0
42,70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,63999,59907,59657,61918,63170,666,603,391,440,386,0
43,10000,1,2,2,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,1684,5003,2576,2670,3451,15594,3141,500,2796,1362,0
44,140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,58544,59925,61280,63079,65802,504,487,636,622,447,0
45,40000,2,1,2,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,18295,25921,25209,23636,26197,2642,0,772,1190,0,0
46,210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,10000,10000,1
47,20000,2,1,2,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,13484,-941,-400,16675,0,0,10156,211,0,0,1
48,150000,2,5,2,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,2021,1170,1170,0,0,2622,0,0,0,10000,1
49,380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0,-9543,7341,-26,-2,6758,11456,7831,3709,6963,0
50,20000,1,1,2,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,17161,18772,19161,19568,19151,754,381,476,459,522,0
51,70000,1,3,2,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,36171,36355,37423,37159,37862,837,553,0,380,388,1
